ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
TCOM-370,2005A,SASWATI SARKAR,2.15,2.46,2.15,1.69,2.08
TCOM-501,2012A,SASWATI SARKAR,3.13,2.88,2.88,3.00,2.50
TCOM-510,2014A,AMJAD UMAR,2.22,1.39,2.50,2.39,1.83
TCOM-515,2007A,MARK R WILSON,3.75,3.00,3.50,3.25,3.25
CIS-551,2016C,MATTHEW BLAZE,2.77,2.25,3.06,2.88,2.13
TCOM-500,2012C,SASWATI SARKAR,1.25,2.43,1.30,1.14,2.10
TCOM-503,2003B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TCOM-502,2014A,GUN AKKOR,4.00,3.00,3.50,4.00,3.50
TCOM-512,2010C,BOON THAU LOO,3.00,3.04,2.99,2.75,3.56
EE-509,2003C,DWIGHT L JAGGARD,2.89,3.50,3.44,3.00,3.28
EE-575,2003C,ZULFIQUAR SAYEED,1.50,3.05,1.40,0.90,2.60
TCOM-596,2005C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ESE-509,2014C,DWIGHT L JAGGARD,2.33,3.20,2.87,2.53,2.67
ESE-575,2013C,GUN AKKOR,2.33,3.00,2.50,2.17,3.17
TCOM-514,2013C,AMJAD UMAR,2.50,1.78,2.70,2.56,2.00
TCOM-504,2012C,SHUMON I. HUQUE,2.68,3.37,2.68,2.50,3.79
CIS-553,2016A,JONATHAN MICHAEL SMITH,1.40,1.74,1.73,1.59,1.24
ESE-404,2013C,SALEEM A KASSAM,2.85,2.57,3.10,2.85,2.26
