ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CINE-009,2008A,GREGORY WOLMART,3.50,2.13,3.44,3.13,2.25
CINE-101,2016C,META MAZAJ,3.30,1.61,3.61,3.58,1.78
CINE-115,2008A,VALERIE ROSS,3.70,1.87,3.61,3.59,2.17
CINE-120,2006C,STEFAN A. FRANK,3.79,2.00,3.86,3.86,2.21
CINE-202,2016C,VALERIE ROSS,3.80,1.38,4.00,3.85,2.08
CINE-515,2012A,ALEXANDER RICHARD GALLOWAY,2.67,3.00,2.83,2.40,2.80
AFRC-400,2016C,DONALD E BOGLE,3.35,2.38,3.41,3.75,2.92
ARTH-290,2014A,JULIE NELSON DAVIS,3.41,2.31,3.53,3.81,2.31
ASAM-150,2010A,FARIHA KHAN,2.67,2.60,3.17,2.80,2.80
COMM-262,2014C,PAUL MESSARIS,3.46,1.77,3.65,3.73,1.44
EALC-257,2016C,JOLYON BARAKA THOMAS,3.40,2.50,3.70,3.60,2.90
ENGL-092,2016C,TIMOTHY CORRIGAN,3.22,2.10,3.40,3.48,2.32
ENGL-105,2016A,DEBORAH S BURNHAM,3.36,1.87,3.80,3.67,3.07
ENGL-116,2014C,KATHLEEN D VAN CLEVE,3.75,1.92,3.67,4.00,2.42
ENGL-130,2013C,KATHLEEN D VAN CLEVE,3.86,2.50,3.86,3.83,2.67
ENGL-261,2015C,ALAN J FILREIS,3.79,2.67,3.76,3.86,2.75
ENGL-292,2016A,JEAN-MICHEL RABATE,3.46,2.11,3.69,4.00,2.33
ENGL-392,2016C,RITA BARNARD,3.19,2.08,3.56,3.58,1.92
FNAR-061,2016C,JAMES HOWZELL,3.57,1.83,3.71,3.67,2.50
FNAR-062,2016A,DAVID HARTT,4.00,2.00,3.80,4.00,1.75
FNAR-063,2016C,MICHAEL CRANE,3.50,2.44,3.70,3.67,2.44
FNAR-065,2016A,EMORY B VAN CLEVE,2.25,2.25,3.00,2.75,3.75
FNAR-267,2016C,JOSHUA MOSLEY,3.44,2.50,3.67,3.63,3.00
FREN-230,2016C,PHILIPPE CHARLES MET,2.96,2.61,3.19,3.22,2.61
GRMN-258,2015C,IAN THOMAS FLEISHMAN,3.07,2.54,3.20,3.15,3.00
ITAL-080,2006C,VICTORIA E KIRKHAM,2.73,2.00,2.73,2.27,2.13
ITAL-213,2009C,STEFANIA BENINI,2.90,2.50,3.00,2.80,2.90
NELC-118,2016A,MAHYAR ENTEZARI,3.55,1.71,3.65,3.59,2.18
RUSS-449,2006C,VERA ZUBAREV,3.63,2.65,3.82,3.69,2.13
SPAN-285,2012C,MICHAEL R SOLOMON,3.71,1.71,4.00,4.00,2.29
THAR-275,2016A,JAMES SCHLATTER,1.70,1.50,1.50,2.50,1.25
CINE-160,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
COMM-140,2012B,SANDRA RISTOVSKA,3.50,1.88,3.50,3.50,2.00
ENGL-039,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENGL-592,2015C,TIMOTHY CORRIGAN,3.88,2.86,4.00,3.50,2.63
RUSS-125,2011A,SARAH KERMAN,2.70,2.30,2.70,2.05,3.25
CINE-201,2016C,FILIPPO TRENTIN,3.33,2.50,3.25,3.00,2.50
CINE-500,2015A,SIMON J RICHTER,3.17,2.29,3.57,3.57,2.71
ANTH-160,2013A,LOUISE KRASNIEWICZ,2.75,2.20,2.79,2.90,2.75
ARTH-210,2009C,JULIE NELSON DAVIS,3.40,2.61,3.65,3.61,2.44
ASAM-275,2007C,THERESE M LAFFERTY,3.80,2.00,4.00,4.00,2.10
EALC-225,2014A,XIAOJUE WANG,3.11,2.64,3.32,3.36,2.50
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
ENGL-078,2016C,RAHUL MUKHERJEE,1.90,2.37,1.73,1.91,2.23
ENGL-295,2016C,TIMOTHY CORRIGAN,3.69,2.36,3.94,3.71,2.36
FREN-301,2016C,MICHELE RICHMAN,2.88,2.17,2.63,2.33,2.40
GRMN-001,2010C,SIMON J RICHTER,2.78,2.33,3.33,2.67,3.00
ITAL-380,2012C,STEFANIA BENINI,3.00,2.25,3.00,3.25,2.38
NELC-159,2016C,NILI R GOLD,3.75,2.00,3.79,3.84,2.56
RUSS-426,2016C,VERA ZUBAREV,3.00,2.00,3.20,3.00,1.33
SAST-213,2013C,MANJITA MUKHARJI,2.45,2.60,2.64,2.82,2.73
SAST-310,2007A,SHEETAL NARENDRA MAJITHIA,3.00,2.67,3.33,3.33,3.00
SPAN-287,2013A,MICHAEL R SOLOMON,3.56,1.67,3.89,3.78,2.56
THAR-271,2016C,DAVID FOX,2.87,2.20,3.07,3.07,2.40
CINE-102,2015A,CLAUDIA CONSOLATI,2.52,1.90,2.70,2.83,1.88
CINE-498,2008A,KAREN BECKMAN,2.85,2.90,3.40,2.80,3.30
ANTH-336,2007A,LOUISE KRASNIEWICZ,3.05,2.38,3.15,3.05,2.30
ARTH-108,2007A,META MAZAJ,2.67,2.05,3.22,2.89,2.27
CLST-206,2008A,JOSEPH A. FARRELL,2.85,2.08,3.23,2.69,1.62
COMM-430,2010A,KATHERINE E. SENDER,3.06,2.27,3.56,3.27,2.60
EALC-055,2016C,FRANK L. CHANCE,3.39,1.23,3.83,3.50,1.77
EALC-186,2007A,JINA KIM,2.00,2.06,2.44,2.25,2.13
ENGL-034,2015C,CHRISTINE M WOODY,2.79,2.40,3.50,3.30,2.80
ENGL-091,2014C,PETER DECHERNEY,2.87,2.10,3.05,3.12,2.24
ENGL-102,2016C,JOAN E LUBIN,2.21,2.43,2.64,2.64,2.71
ENGL-286,2015A,PETER CONN,3.29,2.06,3.47,3.63,2.44
ENGL-461,2009C,DAVID B ESPEY,3.00,2.60,3.00,2.40,3.20
ENGL-569,2008C,TIMOTHY CORRIGAN,2.50,2.30,2.70,2.89,2.50
FREN-386,2016A,PHILIPPE CHARLES MET,2.75,1.83,2.53,2.96,2.09
GRMN-256,2015A,SIMON J RICHTER,3.00,2.44,3.26,3.63,2.67
GRMN-550,2011A,SIMON J RICHTER,1.50,2.50,2.50,1.00,3.00
HIST-347,2007A,KATHY PEISS,3.22,2.78,3.56,3.22,3.00
ITAL-588,2011A,VICTORIA E KIRKHAM,2.86,2.14,2.29,2.43,2.29
PRTG-240,2016C,MERCIA S FLANNERY,3.27,1.29,3.64,3.71,1.71
RELS-105,2008A,TIRDAD DERAKHSHANI,2.27,2.55,2.45,2.00,2.70
RUSS-165,2016A,VLADISLAV T. TODOROV,2.53,1.79,2.76,2.93,1.79
RUSS-275,2016A,VLADISLAV T. TODOROV,1.88,1.89,2.00,2.50,1.44
RUSS-430,2016A,VLADISLAV T. TODOROV,2.58,2.20,2.67,3.10,1.60
RUSS-432,2011B,VERA ZUBAREV,3.75,2.25,3.75,3.75,2.00
SPAN-396,2016C,MARIE ELISE ESCALANTE,3.00,2.00,2.89,2.50,2.00
CINE-150,2016A,GREG A STEIRER,3.04,2.00,3.14,3.64,2.41
CINE-170,2010A,SUSAN J NAPIER,2.38,2.07,2.53,2.57,2.32
CINE-180,2016C,NICOLA MASSIMO GENTILI,3.67,1.46,3.68,3.67,1.42
CINE-285,2016C,KATHLEEN D VAN CLEVE,3.29,2.27,3.50,3.50,2.90
CINE-296,2013A,FRANCESCA COPPA,3.09,2.09,3.29,3.27,2.52
