ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
GSOC-420,2007B,KRISTINE LYNN RABBERMAN,3.78,3.33,4.00,4.00,3.33
BIOL-008,2016A,HILLARY C.M. NELSON,3.00,1.62,3.36,3.31,2.23
RUSS-125,2011A,SARAH KERMAN,2.70,2.30,2.70,2.05,3.25
GSOC-002,2011B,KATHERINE B AID,3.14,1.50,3.71,3.00,2.33
GSOC-009,2007A,FELICITY PAXTON,3.71,2.21,3.86,3.93,2.57
GSOC-149,2010C,CAROL E TRACY,3.20,1.56,3.50,3.39,1.39
GSOC-400,2010C,DOROTHY E KURZ,3.00,2.75,2.75,2.75,3.50
AFRC-220,2007C,EDWARD A. BROCKENBROUGH,3.67,2.00,3.33,3.33,2.33
ANTH-516,2015A,GRETCHEN E. L. SUESS,2.25,2.75,2.50,2.75,3.25
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
ENGL-055,2015A,CHRISTINE M WOODY,3.00,2.60,3.60,3.40,3.00
ENGL-090,2016C,DAVID WALLACE,3.25,2.33,3.81,3.43,2.27
ENGL-096,2016C,JEANNE VACCARO,3.05,2.00,3.30,3.37,1.88
ENGL-105,2016A,DEBORAH S BURNHAM,3.36,1.87,3.80,3.67,3.07
ENGL-222,2015A,MARIE L TURNER,3.38,2.44,3.71,3.69,2.73
ENGL-264,2015A,AMY L PAETH,2.64,2.13,2.64,3.25,1.88
ENGL-290,2016C,MARION KANT,3.50,2.00,3.75,3.50,1.75
ENGL-553,2016C,DAVID WALLACE,3.14,2.50,3.50,3.20,2.25
GRMN-253,2015A,LILIANE WEISSBERG,3.02,2.32,3.35,3.44,2.36
HIST-170,2016C,JUDITH A GIESBERG,2.68,1.97,2.81,2.64,2.17
HIST-307,2007C,ANN C. FARNSWORTH-ALVEAR,3.08,3.00,3.54,3.54,3.54
HIST-349,2015A,KATHY PEISS,3.41,2.76,3.52,3.33,3.14
HIST-491,2009C,MARION KANT,2.93,2.36,3.27,2.93,2.50
HSOC-008,2008A,PAUL BRIAN BURNETT,2.42,2.08,2.67,2.50,2.08
HSSC-528,2016A,MARY SUSAN LINDEE,3.86,3.67,3.86,3.83,3.67
NELC-118,2016A,MAHYAR ENTEZARI,3.55,1.71,3.65,3.59,2.18
NURS-318,2016C,AMANDA L MAHONEY,3.31,2.50,3.00,2.58,2.92
PSCI-280,2008B,JENNIFER COLEMAN,2.33,2.00,2.33,2.67,2.33
SAST-213,2013C,MANJITA MUKHARJI,2.45,2.60,2.64,2.82,2.73
SAST-286,2008B,DIVYA N. ROY,3.67,3.33,4.00,4.00,2.67
SOCI-004,2016C,COLETTE JOYCE,3.28,2.11,3.38,3.56,2.11
SOCI-122,2015C,ROBIN LISA LEIDNER,2.94,1.73,2.91,2.97,1.93
SPAN-386,2016A,FRANCISCO FERNANDEZ,2.92,2.60,3.17,3.00,3.30
SPAN-396,2016C,MARIE ELISE ESCALANTE,3.00,2.00,2.89,2.50,2.00
GSOC-242,2010A,SHANNON B. LUNDEEN,3.24,2.62,3.47,3.67,3.00
GSOC-320,2010A,DOROTHY E KURZ,2.80,2.00,2.60,2.60,2.67
ANTH-447,2012A,CLAUDIA R. VALEGGIA,3.50,2.86,4.00,3.86,3.00
COMM-430,2010A,KATHERINE E. SENDER,3.06,2.27,3.56,3.27,2.60
EALC-016,2008C,AYAKO KANO,3.25,2.33,3.67,3.17,2.75
ENGL-556,2011C,PAUL K. SAINT-AMOUR,3.56,3.33,3.67,3.78,3.56
FOLK-270,2016C,DAVID AZZOLINA,3.61,1.19,3.81,3.85,1.44
GRMN-262,2016C,KATHRYN HELLERSTEIN,2.40,2.20,2.50,2.70,2.30
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
HIST-347,2007A,KATHY PEISS,3.22,2.78,3.56,3.22,3.00
ITAL-310,2010A,VICTORIA E KIRKHAM,2.33,2.88,2.56,2.00,3.00
NURS-518,2015C,CYNTHIA A. CONNOLLY,3.35,1.69,3.50,3.46,1.75
NURS-555,2016C,LUISA AZUCENA UGARTE,3.67,2.00,3.33,3.38,2.23
NURS-588,2014C,JANET L. LEWIS,3.00,1.67,3.57,3.67,2.83
PHIL-028,2014A,MILTON W. MEYER,3.50,3.00,3.75,3.67,2.67
RELS-530,2007A,LESLIE D. CALLAHAN,3.20,2.40,3.40,3.50,2.80
SAST-295,2010A,RAILI ROY,2.33,1.67,2.17,2.33,1.83
