ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
FREN-110,2016C,SAID GAHIA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-120,2016C,ASHLIE HENERY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-130,2016C,MONICA KRAMER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-134,2016A,REBAIA SAOULI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-140,2016C,ANNE N BORNSCHEIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-202,2016C,SAMUEL E MARTIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-211,2016C,NATHALIE CIESCO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-212,2016C,REBAIA SAOULI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-214,2016C,CHANTAL PHILIPPON-DANIEL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-222,2016A,GERALD J PRINCE,2.43,1.83,2.57,2.50,1.67
FREN-227,2016A,MELANIE PERON,3.87,2.18,3.87,4.00,2.45
FREN-301,2016C,MICHELE RICHMAN,2.88,2.17,2.63,2.33,2.40
FREN-313,2016C,NATHALIE CIESCO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-322,2016C,CHANTAL PHILIPPON-DANIEL,3.14,2.57,3.25,3.29,3.00
FREN-360,2016C,JOAN ELIZABETH DEJEAN,3.75,2.14,3.63,3.57,3.00
FREN-370,2016C,ANDREA GOULET,3.78,2.78,3.89,3.78,3.00
FREN-380,2015C,MICHELE RICHMAN,3.20,1.80,3.40,3.40,2.40
